policyno,plcydate,clm_freq5,clm_amt5,clm_amt,kidsdriv,travtime,car_use,bluebook,retained,npolicy,car_type,red_car,mvr_pts,clm_flag,age,homekids,yoj,income,gender,parent1,jobclass,max_educ,home_val,samehome,yearsinhome,area,in_yy,hadclaim,commercial,cartype_panel,cartype_sports,cartype_pickup,cartype_suv,cartype_sedan,cartype_van,redcar,revolked,male,married,singleparent,job_bluecollar,urban,homeowner,probclaim
127444,1994-07-06,1,2374,4021,1,44,Commercial,16970,1,2,Van,yes,10,Yes,37,2,NA,107961,M,No,Blue Collar,Bachelors,333680,7,7,Urban,TRUE,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,.8860448
141509,1995-08-30,0,0,2501,0,34,Private,11200,1,1,SUV,no,0,Yes,34,0,10,62978,F,No,Clerical,Bachelors,0,1,1,Urban,TRUE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.42710328
145326,1996-05-18,0,0,0,0,48,Commercial,18510,7,1,Van,no,1,No,50,0,7,106952,M,No,Professional,Bachelors,0,17,17,Rural,FALSE,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,.049981996
146809,1994-03-08,0,0,6077,0,15,Private,18300,1,1,Sports Car,no,0,Yes,53,0,14,77100,F,No,Lawyer,Masters,0,11,11,Urban,TRUE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,.2496857
148250,1997-03-08,0,0,0,0,36,Private,22420,7,3,Sedan,no,0,No,43,0,5,52642,F,No,Professional,Masters,209970,1,1,Rural,FALSE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,.0083907284
157851,1995-09-18,2,5028,0,0,25,Commercial,17600,7,2,Van,yes,3,No,55,0,11,59162,M,No,Manager,Bachelors,180232,9,9,Urban,FALSE,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,.4833405
169267,1994-08-04,0,0,1267,0,64,Commercial,28340,6,3,Panel Truck,yes,3,Yes,53,0,11,130795,M,No,Unknown,PhD,0,10,10,Urban,FALSE,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,.45589134
173110,1997-05-12,0,0,0,0,74,Private,9230,6,5,Pickup,no,0,No,35,2,NA,21204,M,Yes,Clerical,High School,0,4,4,Rural,FALSE,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,.20780736
187406,1994-10-14,0,0,2920,0,48,Private,6000,1,1,SUV,no,3,Yes,45,0,0,0,F,No,Home Maker,<High School,106859,5,5,Urban,TRUE,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.33517122
187972,1995-07-25,0,0,0,0,43,Private,10590,6,1,SUV,no,0,No,39,3,12,51884,F,Yes,Clerical,Bachelors,180951,13,13,Rural,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,.038883924
253499,1993-06-30,2,44857,4111,0,45,Private,15420,1,2,Sedan,yes,4,Yes,59,0,12,87460,M,No,Manager,High School,0,1,1,Urban,TRUE,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,.32658115
262035,1998-10-11,0,0,0,0,42,Private,14190,6,1,Sedan,no,0,No,42,0,11,59945,M,No,Lawyer,Masters,192207,16,16,Urban,FALSE,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,.05970506
277578,1998-04-09,0,0,0,0,27,Private,8300,7,1,SUV,no,0,No,34,3,13,34019,F,No,Lawyer,Masters,91875,20,20,Urban,FALSE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.12236242
282990,1995-12-09,0,0,0,0,48,Private,17330,4,2,Sedan,no,0,No,31,2,12,18903,F,No,Clerical,<High School,93797,7,7,Urban,FALSE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,.12842292
288597,1998-11-29,2,8935,6857,0,29,Commercial,8710,6,1,SUV,no,0,Yes,28,1,13,44077,F,No,Blue Collar,High School,170598,1,1,Urban,FALSE,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,.47171819
292034,1995-12-28,0,0,3627,0,52,Commercial,26560,1,1,Panel Truck,yes,3,Yes,43,0,13,37214,M,No,Blue Collar,<High School,,1,1,Urban,TRUE,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,.47622347
313495,1993-08-18,1,8250,0,0,36,Private,11130,6,2,SUV,no,5,No,48,0,14,96274,F,No,Lawyer,Masters,282904,14,14,Urban,FALSE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.19843902
316551,1994-06-24,0,0,0,0,29,Private,19700,10,1,Sedan,no,1,No,47,0,11,46281,F,No,Blue Collar,<High School,0,5,5,Urban,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,.13082106
318204,1993-12-03,3,3338,0,2,8,Private,5900,6,1,SUV,no,0,No,44,2,0,0,F,No,Home Maker,High School,82344,11,11,Urban,FALSE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.35793698
328102,1995-01-30,1,2119,0,0,7,Commercial,25660,1,1,Panel Truck,no,2,No,46,0,14,,M,No,Professional,Bachelors,207519,12,12,Urban,FALSE,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,.17066132
339538,1994-03-05,0,0,5247,0,16,Commercial,11290,1,2,Sports Car,no,0,Yes,60,0,12,37940,F,No,Blue Collar,High School,182739,1,1,Urban,TRUE,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,.38085619
343830,1996-12-12,0,0,0,0,27,Private,16830,9,3,SUV,no,2,No,33,1,13,79606,F,No,Professional,Bachelors,225962,15,15,Rural,FALSE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,.011831551
344783,1996-05-11,0,0,4486,0,26,Private,10030,1,1,SUV,no,0,Yes,32,1,9,31275,F,No,Clerical,High School,118160,1,1,Urban,TRUE,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.24784565
365376,1998-12-15,0,0,0,1,16,Private,22090,17,3,Sedan,no,0,No,44,2,17,45488,M,No,Manager,Bachelors,219378,12,12,Urban,FALSE,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,.039723426
375913,1995-05-21,0,0,0,0,26,Private,12220,6,1,SUV,no,3,No,35,0,8,72193,F,No,Clerical,Bachelors,0,12,12,Urban,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.29397511
383525,1996-08-05,2,38127,0,0,15,Private,14130,6,3,SUV,no,4,No,40,2,0,,F,No,Home Maker,Masters,98777,12,12,Rural,FALSE,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,.043948293
422035,1996-02-26,0,0,0,0,30,Private,15880,1,3,Sedan,no,1,No,49,0,5,49244,M,No,Clerical,Bachelors,163444,1,1,Urban,TRUE,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,.12022313
427058,1997-08-14,0,0,0,2,5,Commercial,27200,4,2,Sedan,no,0,No,36,2,12,130540,F,Yes,Blue Collar,Bachelors,344195,9,9,Rural,FALSE,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,.038795061
459103,1996-12-18,0,0,0,0,37,Private,1500,4,2,SUV,no,1,No,52,0,8,51278,F,No,Professional,Bachelors,230340,10,10,Urban,FALSE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.20204481
479082,1997-01-19,2,1431,0,0,12,Commercial,25810,6,1,Panel Truck,no,5,No,41,0,7,92842,M,No,Unknown,Masters,286113,15,15,Urban,FALSE,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,.314127
492179,1997-04-12,0,0,0,0,38,Commercial,16640,4,3,Van,yes,0,No,39,0,10,35081,M,No,Blue Collar,Bachelors,202839,13,13,Urban,FALSE,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,.20730717
508057,1995-07-20,0,0,0,0,65,Private,13220,1,1,Sedan,no,0,No,56,0,0,0,F,No,Home Maker,PhD,63827,12,12,Rural,TRUE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,.013471226
512677,1994-04-01,0,0,0,0,18,Private,17900,1,1,Sedan,no,0,No,49,0,12,115044,F,No,Doctor,PhD,311980,14,14,Urban,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,.080636375
517349,1998-11-10,0,0,0,0,47,Private,12080,1,1,SUV,no,2,No,38,0,11,37754,F,No,Clerical,High School,138823,9,9,Rural,TRUE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,.03139364
536131,1995-09-05,0,0,0,0,38,Commercial,29450,6,2,Van,no,0,No,43,2,17,145353,F,No,Unknown,Masters,418785,15,15,Urban,FALSE,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,.15175751
547948,1997-03-05,0,0,0,0,22,Private,34150,4,3,Sports Car,no,3,No,50,0,8,167469,F,No,Doctor,PhD,0,1,1,Urban,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,.30161154
557378,1998-03-12,0,0,0,0,10,Private,16270,1,1,SUV,no,0,No,63,0,15,121398,F,No,Doctor,PhD,343410,11,11,Urban,TRUE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.085656278
568498,1994-01-02,0,0,0,0,48,Commercial,9280,1,1,SUV,no,1,No,52,0,0,0,F,No,Student,High School,87925,6,6,Rural,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.11501052
574750,1998-11-24,0,0,0,0,22,Commercial,6450,1,1,Pickup,no,0,No,35,0,7,14508,M,No,Student,Bachelors,0,7,7,Urban,TRUE,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,.37286258
583065,1998-04-09,0,0,0,0,40,Private,23080,1,1,Sports Car,no,0,No,43,0,13,75338,F,No,Manager,Bachelors,270555,8,8,Urban,TRUE,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,.17843966
585496,1995-12-20,0,0,0,0,44,Private,20120,4,1,Sedan,no,0,No,41,0,10,32774,F,No,Clerical,High School,0,1,1,Rural,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.02847187
589112,1997-11-22,0,0,0,0,5,Commercial,29270,4,1,Panel Truck,yes,1,No,40,0,11,57474,M,No,Clerical,Bachelors,186418,5,5,Urban,FALSE,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,.138879
595977,1995-11-08,0,0,0,0,62,Commercial,4600,6,1,Sedan,yes,2,No,31,1,12,26520,M,No,Student,Bachelors,154493,5,5,Urban,FALSE,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,.41128665
614132,1994-11-16,0,0,0,0,36,Private,29230,10,1,Sedan,yes,0,No,53,0,NA,107259,M,No,Professional,Masters,343700,15,15,Urban,FALSE,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,.027018305
657337,1996-02-07,0,0,0,0,33,Private,4040,6,2,SUV,no,0,No,39,3,7,34046,F,No,Clerical,High School,183383,5,5,Rural,FALSE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,.035258744
674808,1998-02-04,0,0,0,0,40,Private,12270,18,2,Sedan,yes,3,No,33,3,14,32364,M,No,Clerical,<High School,152894,1,1,Urban,FALSE,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,.13441664
680397,1994-09-22,0,0,0,0,24,Commercial,23450,1,1,Sedan,no,2,No,42,0,NA,52988,M,No,Blue Collar,High School,176275,11,11,Rural,TRUE,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,.016675962
686939,1996-03-09,1,26104,6100,0,20,Commercial,12230,4,1,Pickup,yes,13,Yes,40,0,11,16989,M,No,Blue Collar,<High School,0,6,6,Urban,FALSE,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,.8718707
687859,1994-04-08,0,0,0,0,29,Private,14480,1,3,Sedan,yes,2,No,41,2,7,17755,F,Yes,Clerical,<High School,148815,1,1,Urban,TRUE,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,.47075751
696991,1999-03-22,2,2045,0,0,15,Private,10700,6,2,Sedan,no,2,No,36,3,12,56048,M,No,Lawyer,Masters,137836,16,16,Urban,FALSE,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,.11733861
715790,1995-01-28,1,7838,8841,0,37,Private,10520,1,2,SUV,no,1,Yes,44,2,15,16352,F,No,Home Maker,High School,134164,1,1,Urban,TRUE,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.33711478
723926,1998-06-08,0,0,0,0,30,Private,21770,13,3,Sedan,yes,0,No,56,0,16,44760,M,No,Manager,Bachelors,164852,6,6,Urban,FALSE,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,.039276268
734120,1995-04-09,2,27877,2117,1,50,Private,32340,6,2,Van,no,0,Yes,45,1,14,63952,F,No,Lawyer,Masters,196368,13,13,Urban,FALSE,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,.23863904
743654,1996-10-19,0,0,1230,0,26,Private,14690,4,3,Sedan,yes,0,Yes,34,3,12,22510,M,No,Clerical,High School,123888,1,1,Rural,FALSE,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,.039886143
746346,1999-04-07,5,1554,0,0,14,Commercial,28560,13,2,Panel Truck,yes,1,No,48,0,NA,,M,No,Professional,Bachelors,252896,10,10,Urban,FALSE,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,.20009591
748557,1999-04-28,0,0,3532,1,24,Private,14220,4,1,Sedan,no,0,Yes,44,2,NA,24060,M,Yes,Clerical,Bachelors,0,10,10,Urban,FALSE,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,.23739927
751598,1997-12-06,3,7896,866,0,46,Private,6880,13,1,SUV,no,0,Yes,33,4,12,20822,F,No,Home Maker,High School,76022,1,1,Urban,FALSE,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.4018763
754648,1996-03-09,0,0,0,0,20,Private,10040,4,1,SUV,no,0,No,32,3,14,54968,F,No,Professional,High School,146784,8,8,Urban,FALSE,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,.37094364
781399,1999-05-05,3,24767,7786,0,13,Private,2920,4,2,Sports Car,no,2,Yes,34,0,8,14194,F,No,Clerical,<High School,87034,10,10,Urban,FALSE,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,.62007844
783846,1997-09-15,0,0,0,1,35,Private,22690,10,2,Pickup,no,2,No,38,4,12,2149,F,No,Home Maker,<High School,72889,1,1,Urban,FALSE,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,.24917169
790317,1997-08-11,0,0,5426,0,43,Private,9730,5,1,SUV,no,4,Yes,35,2,12,,F,Yes,Blue Collar,<High School,0,4,4,Urban,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,.56671154
807192,1997-01-28,3,8890,4148,2,29,Private,19510,1,1,Sports Car,no,0,Yes,43,3,11,137103,F,Yes,Manager,Masters,0,15,15,Urban,TRUE,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,.65299565
809783,1994-07-01,2,34351,0,0,31,Commercial,33710,3,1,Panel Truck,no,2,No,49,0,9,,M,No,Unknown,PhD,0,18,18,Urban,FALSE,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,.42923152
812299,1996-12-26,0,0,0,0,13,Private,14050,3,1,Sedan,no,2,No,46,0,10,79538,F,No,Manager,Bachelors,0,11,11,Urban,FALSE,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.29703581
813563,1997-01-27,3,4307,0,0,28,Private,10250,1,3,SUV,no,6,No,45,1,11,185836,F,No,Lawyer,PhD,509115,20,20,Urban,TRUE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.31401706
825520,1994-02-21,0,0,0,0,22,Commercial,33320,4,1,Panel Truck,yes,1,No,46,0,14,,M,No,Unknown,Masters,397661,12,12,Urban,FALSE,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,.34691092
891607,1998-07-22,0,0,0,0,40,Commercial,23230,6,2,Panel Truck,yes,1,No,48,0,9,61509,M,No,Unknown,Masters,195438,17,17,Urban,FALSE,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,.14447723
939726,1997-03-23,0,0,0,0,11,Private,27600,1,1,SUV,no,0,No,63,0,9,74426,F,No,Doctor,PhD,0,18,18,Urban,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.10223241
944837,1996-06-12,0,0,0,0,9,Private,23640,6,1,Sedan,no,0,No,44,0,9,74722,F,No,Professional,Bachelors,231034,1,1,Urban,FALSE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,.051298533
951364,1998-10-02,0,0,2371,1,25,Private,1500,1,1,Sedan,yes,2,Yes,45,2,11,102393,M,Yes,Professional,Bachelors,0,11,11,Urban,TRUE,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,.40031973
976455,1995-07-10,2,42342,4178,0,57,Private,9170,4,1,Sports Car,no,2,Yes,62,0,15,40656,F,No,Clerical,High School,208242,7,7,Urban,FALSE,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,.49546224
979487,1997-06-08,1,2718,4804,1,43,Commercial,5200,1,1,SUV,no,1,Yes,37,2,12,,F,No,Blue Collar,Bachelors,205211,3,3,Urban,FALSE,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,.6947341
984293,1994-12-14,0,0,0,0,49,Private,4860,10,4,Sports Car,no,0,No,35,0,NA,29371,F,No,Clerical,<High School,0,1,1,Urban,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,.49916896
998646,1995-03-12,1,1212,1354,0,14,Commercial,9640,13,3,Pickup,no,4,Yes,48,0,12,31773,M,No,Clerical,High School,165090,1,1,Urban,FALSE,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,.29387739
1009383,1999-03-06,1,8350,0,0,27,Private,10850,1,1,SUV,no,2,No,39,0,11,33727,F,No,Clerical,Bachelors,0,12,12,Urban,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.35559124
1010844,1999-05-04,1,9115,0,0,42,Private,6400,10,1,SUV,no,6,No,49,0,0,0,F,No,Professional,Masters,159389,14,14,Urban,FALSE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.22202662
1026106,1995-07-04,0,0,0,0,35,Commercial,22050,10,1,Sports Car,no,0,No,44,2,15,139330,F,Yes,Blue Collar,High School,316900,1,1,Rural,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,.084233768
1033809,1996-05-04,0,0,0,0,42,Private,22830,1,1,Sedan,no,0,No,50,0,13,163296,F,No,Lawyer,PhD,447616,14,14,Rural,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.010987052
1041542,1996-08-10,0,0,0,0,50,Private,12380,13,2,Sedan,no,0,No,30,1,10,17455,F,Yes,Blue Collar,<High School,140978,6,6,Rural,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,.017708322
1048607,1996-03-29,0,0,0,0,61,Private,14000,6,5,Sedan,no,0,No,54,0,NA,71007,M,No,Manager,Bachelors,240833,11,11,Urban,FALSE,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,.090948053
1049545,1997-06-12,2,3157,0,0,41,Commercial,17470,10,1,Van,no,5,No,38,0,0,0,M,No,Student,High School,0,6,6,Rural,FALSE,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,.093072228
1052895,1997-07-17,0,0,2425,0,32,Commercial,13140,1,1,SUV,no,4,Yes,53,0,6,38036,F,No,Blue Collar,High School,153381,1,1,Urban,TRUE,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,.4752883
1067689,1998-04-18,0,0,0,0,21,Private,15360,1,2,SUV,no,0,No,53,0,13,41199,F,No,Manager,Bachelors,150933,8,8,Urban,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,.19252457
1076244,1997-04-16,0,0,0,0,15,Private,15160,6,2,Sedan,no,0,No,29,1,10,38042,M,Yes,Professional,High School,202967,1,1,Urban,FALSE,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,.1434707
1101731,1994-02-15,0,0,0,0,5,Private,19380,6,2,Sedan,no,0,No,55,0,7,45787,F,No,Lawyer,Masters,173196,13,13,Urban,FALSE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,.030308852
1103124,1995-08-30,2,969,0,0,21,Commercial,5760,1,1,Pickup,yes,6,No,55,0,NA,84964,M,No,Blue Collar,Bachelors,227091,11,11,Urban,TRUE,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,.47821671
1111239,1993-06-11,0,0,0,0,36,Private,8750,4,2,Sports Car,no,0,No,39,2,0,0,F,No,Home Maker,High School,69369,8,8,Urban,FALSE,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,.27144504
1117787,1997-08-10,0,0,0,2,28,Private,21790,6,4,Sedan,yes,2,No,44,2,13,142588,M,No,Manager,Masters,365256,9,9,Urban,FALSE,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,.15799163
1128049,1997-09-26,2,759,0,0,36,Private,18110,1,1,Van,yes,3,No,34,0,11,51565,M,No,Lawyer,Masters,0,15,15,Urban,TRUE,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,.37053254
1153652,1998-08-07,2,1800,5711,0,25,Private,11740,9,1,SUV,no,2,Yes,34,3,0,0,F,No,Home Maker,High School,66358,1,1,Urban,FALSE,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.32662621
1156161,1997-01-19,3,31695,0,0,24,Private,13800,7,2,Sedan,yes,4,No,36,0,11,105384,M,No,Professional,Masters,267509,17,17,Urban,FALSE,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,.18255809
1175450,1999-05-04,0,0,13105,0,59,Private,12230,4,1,Sedan,yes,1,Yes,41,0,10,66265,M,No,Lawyer,Masters,159276,9,9,Urban,FALSE,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,.13236117
1192309,1994-04-29,3,4678,4061,0,17,Commercial,23350,13,2,Panel Truck,yes,6,Yes,46,0,7,,M,No,Unknown,Masters,,17,17,Urban,FALSE,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,.38236219
1243423,1997-06-11,0,0,0,0,33,Private,13770,4,2,SUV,no,0,No,45,0,12,32394,F,No,Clerical,High School,0,1,1,Urban,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.34900171
1253235,1993-07-04,0,0,0,0,18,Commercial,23390,13,1,Panel Truck,yes,0,No,42,0,9,76226,M,No,Blue Collar,Bachelors,217920,14,14,Urban,FALSE,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,.080881424
1256160,1993-04-23,0,0,0,1,26,Private,8080,1,7,Pickup,yes,0,No,38,3,16,7528,M,No,Clerical,<High School,113809,8,8,Rural,TRUE,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,.036809508
1259373,1997-07-09,1,1631,7838,0,14,Commercial,15090,1,2,Sedan,yes,2,Yes,33,4,0,0,M,Yes,Student,High School,0,5,5,Urban,TRUE,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,.55722159
1277442,1996-06-25,0,0,3660,0,48,Commercial,12850,7,1,SUV,no,3,Yes,37,0,0,,F,No,Student,Bachelors,73890,6,6,Urban,FALSE,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.40608582
1278246,1996-12-11,0,0,0,1,63,Private,21690,1,2,Sedan,no,2,No,42,1,9,32797,F,No,Lawyer,Masters,160661,14,14,Urban,TRUE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,.17073607
1306373,1993-06-25,2,1533,5125,0,50,Private,12840,1,1,SUV,no,0,Yes,47,0,11,44705,F,No,Professional,Bachelors,217885,10,10,Urban,TRUE,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.25553066
1309792,1996-12-12,0,0,0,0,26,Private,8350,1,2,SUV,no,3,No,43,1,0,0,F,No,Home Maker,Bachelors,70170,7,7,Urban,TRUE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.257557
1331376,1997-05-28,0,0,0,0,36,Commercial,15120,1,2,Sedan,no,3,No,52,0,9,68992,F,No,Blue Collar,Bachelors,216986,10,10,Rural,TRUE,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,.047580738
1344988,1996-07-01,1,12294,0,0,8,Commercial,30150,16,3,Panel Truck,no,0,No,43,0,11,132561,M,No,Professional,Masters,314433,1,1,Urban,FALSE,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,.14283597
1345594,1993-12-15,2,3994,5085,0,23,Commercial,14620,6,1,SUV,no,0,Yes,64,0,15,31738,M,No,Blue Collar,<High School,197010,1,1,Urban,FALSE,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,.32811064
